CustomerID,model_name,Fold,y_true,raw_p_fraud,P_fraud,DTS
3000002,xgb_tuned,5,0,0.1300286054611206,0.017707362534948742,890
3000010,xgb_tuned,5,0,0.0241224505007267,0.00220205525156813,1000
3000014,xgb_tuned,2,0,0.02057596668601036,0.00220205525156813,1000
3000022,xgb_tuned,4,0,0.00275440770201385,0.0,1000
3000026,xgb_tuned,5,0,0.022453876212239265,0.00220205525156813,1000
3000030,xgb_tuned,3,0,0.15217848122119904,0.02214022140221402,873
3000038,xgb_tuned,4,0,0.015530446544289589,0.00220205525156813,1000
3000042,xgb_tuned,4,0,0.009277230128645897,0.001099010890198821,1000
3000046,xgb_tuned,1,0,0.013121925294399261,0.0021671826625387,1000
3000050,xgb_tuned,4,0,0.07715032994747162,0.008267568583239383,945
3000054,xgb_tuned,4,0,0.03300248458981514,0.003961267605633803,999
3000058,xgb_tuned,2,0,0.009691651910543442,0.001099010890198821,1000
3000062,xgb_tuned,1,0,0.0077907326631248,0.001099010890198821,1000
3000066,xgb_tuned,2,0,0.006629019044339657,0.001099010890198821,1000
3000078,xgb_tuned,5,0,0.014809202402830124,0.0021671826625387,1000
3000082,xgb_tuned,2,0,0.01398287620395422,0.0021671826625387,1000
3000102,xgb_tuned,5,0,0.01764417439699173,0.00220205525156813,1000
3000118,xgb_tuned,2,0,0.19951868057250977,0.029100529100529095,853
3000122,xgb_tuned,1,0,0.09510620683431625,0.008267568583239383,945
3000126,xgb_tuned,5,0,0.051537662744522095,0.006604506604506605,962
3000130,xgb_tuned,4,0,0.11842040717601776,0.00894187779433681,940
3000134,xgb_tuned,1,0,0.014058392494916916,0.0021671826625387,1000
3000138,xgb_tuned,4,0,0.12227421998977661,0.017707362534948742,890
3000142,xgb_tuned,5,0,0.011289644055068493,0.001099010890198821,1000
3000146,xgb_tuned,4,0,0.019237618893384933,0.00220205525156813,1000
3000158,xgb_tuned,5,0,0.04561712220311165,0.006101281269066504,967
3000162,xgb_tuned,1,0,0.01534420344978571,0.00220205525156813,1000
3000166,xgb_tuned,1,0,0.011985382996499538,0.001099010890198821,1000
3000174,xgb_tuned,4,0,0.04558606073260307,0.006101281269066504,967
3000182,xgb_tuned,5,0,0.010029342956840992,0.001099010890198821,1000
3000190,xgb_tuned,2,0,0.005997995380312204,0.001099010890198821,1000
3000194,xgb_tuned,4,0,0.014224980026483536,0.0021671826625387,1000
3000202,xgb_tuned,2,0,0.00799405388534069,0.001099010890198821,1000
3000214,xgb_tuned,2,0,0.0026961148250848055,0.0,1000
3000222,xgb_tuned,3,0,0.006437824573367834,0.001099010890198821,1000
3000226,xgb_tuned,3,0,0.03944763168692589,0.003961267605633803,999
3000230,xgb_tuned,4,0,0.005106107797473669,0.001099010890198821,1000
3000234,xgb_tuned,5,0,0.637732744216919,0.24691358024691357,680
3000238,xgb_tuned,5,0,0.030133042484521866,0.00220205525156813,1000
3000250,xgb_tuned,4,0,0.010048170574009418,0.001099010890198821,1000
3000262,xgb_tuned,5,0,0.02112899348139763,0.00220205525156813,1000
3000270,xgb_tuned,4,0,0.05430174246430397,0.006604506604506605,962
3000282,xgb_tuned,1,0,0.002455363981425762,0.0,1000
3000290,xgb_tuned,5,0,0.028796659782528877,0.00220205525156813,1000
3000294,xgb_tuned,5,0,0.039253804832696915,0.003961267605633803,999
3000298,xgb_tuned,2,0,0.0451052151620388,0.006101281269066504,967
3000302,xgb_tuned,5,0,0.004649848211556673,0.0008976660682226212,1000
3000310,xgb_tuned,5,0,0.06348416209220886,0.006604506604506605,962
3000318,xgb_tuned,5,0,0.0056088874116539955,0.001099010890198821,1000
3000322,xgb_tuned,2,0,0.0065992302261292934,0.001099010890198821,1000
3000330,xgb_tuned,1,0,0.008500268682837486,0.001099010890198821,1000
3000346,xgb_tuned,1,0,0.004130926448851824,0.0008976660682226212,1000
3000350,xgb_tuned,4,0,0.01808667927980423,0.00220205525156813,1000
3000354,xgb_tuned,5,0,0.037524402141571045,0.003961267605633803,999
3000362,xgb_tuned,5,0,0.009414554573595524,0.001099010890198821,1000
3000374,xgb_tuned,3,0,0.008197817020118237,0.001099010890198821,1000
3000378,xgb_tuned,5,0,0.11983810365200043,0.017707362534948742,890
3000382,xgb_tuned,4,0,0.09254872053861618,0.008267568583239383,945
3000386,xgb_tuned,2,0,0.008182397112250328,0.001099010890198821,1000
3000394,xgb_tuned,5,0,0.003795975586399436,0.0008976660682226212,1000
3000398,xgb_tuned,2,0,0.005126452073454857,0.001099010890198821,1000
3000406,xgb_tuned,3,0,0.0049704574048519135,0.001099010890198821,1000
3000410,xgb_tuned,2,0,0.023122848942875862,0.00220205525156813,1000
3000414,xgb_tuned,1,0,0.0017803318332880735,0.0,1000
3000418,xgb_tuned,1,0,0.04549742862582207,0.006101281269066504,967
3000422,xgb_tuned,4,0,0.6426972150802612,0.24691358024691357,680
3000426,xgb_tuned,2,0,0.05637867748737335,0.006604506604506605,962
3000434,xgb_tuned,5,0,0.004662439692765474,0.0008976660682226212,1000
3000442,xgb_tuned,5,0,0.012048101983964443,0.001099010890198821,1000
3000458,xgb_tuned,1,0,0.014039548113942146,0.0021671826625387,1000
3000462,xgb_tuned,1,1,0.9898860454559326,0.9533333333333334,382
3000466,xgb_tuned,3,0,0.009331177920103073,0.001099010890198821,1000
3000474,xgb_tuned,4,0,0.4195559322834015,0.09120521172638436,766
3000490,xgb_tuned,3,0,0.00411182688549161,0.0008976660682226212,1000
