CustomerID,device_risk,sim_risk,behavior_risk,identity_risk,device_score,sim_score,behavior_score,identity_score,DTS_unsup,anomaly_score,graph_adjusted_anomaly_score,AnomalyScore
3000006,0.25476521739130437,0.25938666666666665,0.36860624999999997,0.6455288461538462,745.2347826086956,740.6133333333333,631.39375,354.4711538461538,637,0.947015,0.9162275,0.9162275
3000018,0.24560978260869565,0.47534000000000004,0.44537125,0.3339807692307692,754.3902173913044,524.6599999999999,554.62875,666.0192307692307,618,0.656145,0.6482525,0.6482525
3000034,0.6852043478260869,0.5206850000000001,0.39298,0.3646673076923077,314.79565217391314,479.31499999999994,607.02,635.3326923076922,501,0.992115,0.99678,0.99678
3000070,0.14394891304347826,0.32597333333333334,0.566254375,0.12013846153846153,856.0510869565218,674.0266666666666,433.745625,879.8615384615384,701,0.951015,0.9191075,0.9191075
3000074,0.14394891304347826,0.25959333333333334,0.47047937500000003,0.1069096153846154,856.0510869565218,740.4066666666666,529.520625,893.0903846153846,747,0.39054,0.3896825,0.3896825
3000086,0.24560978260869565,0.25946166666666665,0.45728812499999993,0.19797115384615382,754.3902173913044,740.5383333333333,542.7118750000001,802.0288461538462,707,0.8887799999999999,0.8692475,0.8692475
3000098,0.14394891304347826,0.25959333333333334,0.4619137499999999,0.32864423076923077,856.0510869565218,740.4066666666666,538.0862500000001,671.3557692307693,705,0.7922,0.7772225,0.7772225
3000110,0.24560978260869565,0.46477833333333335,0.44528375000000003,0.9236615384615384,754.3902173913044,535.2216666666667,554.7162500000001,76.33846153846157,503,0.89747,0.8766725,0.8766725
3000246,0.5976978260869564,0.2597816666666667,0.417931875,0.21785769230769234,402.3021739130436,740.2183333333334,582.0681249999999,782.1423076923077,625,0.8595649999999999,0.8423825,0.8423825
3000254,0.14394891304347826,0.6084866666666666,0.531526875,0.9236615384615384,856.0510869565218,391.5133333333334,468.47312500000004,76.33846153846157,464,0.98839,0.99378,0.99378
3000258,0.24560978260869565,0.25946166666666665,0.442271875,0.5109096153846153,754.3902173913044,740.5383333333333,557.728125,489.09038461538466,648,0.74494,0.7321774999999999,0.7321774999999999
3000274,0.5976978260869564,0.505065,0.49867812499999997,0.9236615384615384,402.3021739130436,494.935,501.32187500000003,76.33846153846157,390,0.941305,0.9115475,0.9115475
3000334,0.24560978260869565,0.25946166666666665,0.5143199999999999,0.5483461538461538,754.3902173913044,740.5383333333333,485.6800000000001,451.6538461538462,623,0.845205,0.8277125,0.8277125
3000338,0.24560978260869565,0.25938666666666665,0.41462062499999996,0.22590576923076922,754.3902173913044,740.6133333333333,585.379375,774.0942307692308,712,0.854835,0.8377475,0.8377475
3000342,0.14394891304347826,0.32644833333333334,0.59758125,0.5597000000000001,856.0510869565218,673.5516666666666,402.41875000000005,440.2999999999999,605,0.893475,0.9266175,0.9266175
3000366,0.5976978260869564,0.2597816666666667,0.42577374999999995,0.6243903846153847,402.3021739130436,740.2183333333334,574.22625,375.6096153846153,541,0.93136,0.9035825,0.9035825
3000370,0.14394891304347826,0.25959333333333334,0.3941493749999999,0.5671999999999999,856.0510869565218,740.4066666666666,605.850625,432.80000000000007,674,0.8857299999999999,0.8661875,0.8661875
3000438,0.14394891304347826,0.25959333333333334,0.357558125,0.26019230769230767,856.0510869565218,740.4066666666666,642.4418750000001,739.8076923076924,745,0.8681749999999999,0.850595,0.850595
3000450,0.5976978260869564,0.477675,0.47047937500000003,0.12814615384615385,402.3021739130436,522.3249999999999,529.520625,871.8538461538461,564,0.8210000000000001,0.8055275,0.8055275
3000470,0.24560978260869565,0.3261283333333333,0.42323437499999994,0.35929038461538454,754.3902173913044,673.8716666666667,576.7656250000001,640.7096153846155,663,0.92972,0.9020075,0.9020075
