CustomerID,iso_score,lof_score,iso_rank_pct,lof_rank_pct,anomaly_score
3000006,0.4075598022460797,1.3813265109604833,0.94685,0.97285,0.9494499999999999
3000018,0.3794605617951637,1.008927605085741,0.72355,0.1998,0.6711750000000001
3000034,0.4398364406397092,1.2371997163322548,0.9948,0.89885,0.985205
3000070,0.42780712248470104,1.0925824133295898,0.98665,0.60275,0.94826
3000074,0.3729468757385038,1.0286816837724075,0.62405,0.3182,0.593465
3000086,0.4240531158249419,1.0128259131496125,0.98295,0.22365,0.9070199999999999
3000098,0.3622817100497228,1.1513219196025093,0.4191,0.7664,0.45382999999999996
3000110,0.39038782600548594,1.0632339772640995,0.85005,0.4862,0.813665
3000246,0.4108358125819598,1.0665590172403576,0.9573,0.50105,0.911675
3000254,0.47563860792703194,1.1311304970592218,0.99985,0.71975,0.97184
3000258,0.3853206941605058,1.0179964030109239,0.7995,0.25375,0.7449250000000001
3000274,0.4159523718979013,1.176863775954351,0.96945,0.817,0.9542050000000001
3000334,0.3961571708419243,1.189043693858162,0.8929,0.8361,0.88722
3000338,0.40389545951668576,1.138211306295834,0.9325,0.7375,0.913
3000342,0.4063754317989639,1.0823222116741562,0.9419,0.565,0.90421
3000366,0.40840054717115953,1.0940821985093556,0.94975,0.6083,0.915605
3000370,0.40507258352491465,1.1389601982630608,0.9373,0.73935,0.917505
3000438,0.4152525051864111,1.055330579025511,0.9683,0.45195,0.9166650000000001
3000450,0.3988728942174782,1.0083584977638353,0.90965,0.19635,0.83832
3000470,0.4187877453618287,1.1070095759431777,0.97465,0.65005,0.94219
3000482,0.3731172472870106,1.0540105828205406,0.627,0.44605,0.608905
3000486,0.4067978111809294,1.062631771155574,0.9437,0.48345,0.897675
3000498,0.38382870101006705,1.0206308602668208,0.7827,0.27015,0.731445
3000542,0.3864962043815069,1.0247423122874262,0.8119,0.2936,0.76007
3000546,0.3788897047053092,1.021687096104924,0.7157,0.2774,0.67187
3000566,0.3793905228648099,1.0500330682532577,0.72295,0.4286,0.693515
3000594,0.3975478419412706,1.1231350577935229,0.90245,0.6987,0.8820749999999999
3000606,0.38224419296395273,1.1108691485039803,0.7631,0.66305,0.7530950000000001
3000610,0.37903795914599253,1.0935694291581972,0.7179,0.607,0.7068099999999999
3000630,0.44424647818141744,1.4230932512476284,0.99635,0.97985,0.9946999999999999
3000662,0.40841449940035185,1.1393237435361425,0.9498,0.7401,0.92883
3000666,0.3807810558519738,1.155108670367087,0.7419,0.7753,0.74524
3000686,0.3831869400641637,1.0696901700454462,0.77505,0.51495,0.74904
3000698,0.4144852167962108,1.2712785852000261,0.96625,0.9274,0.9623650000000001
3000702,0.4163041378186106,1.1059368239422092,0.97025,0.6464,0.937865
