CustomerID,iso_score,lof_score,iso_rank_pct,lof_rank_pct,anomaly_score,neighbor_count,neighbor_anomaly_max,neighbor_anomaly_mean,neighbor_anomaly_rank_pct,graph_adjusted_anomaly_score
3000006,0.40765366644501866,1.3460676890585916,0.94595,0.9566,0.9470149999999999,0,0.0,0.0,0.452075,0.9162275
3000018,0.3787366087118263,1.0492854329377523,0.68245,0.4194,0.656145,0,0.0,0.0,0.452075,0.6482525
3000034,0.43556757090678805,1.4099927996953587,0.99365,0.9783,0.992115,2,0.9797750000000001,0.8524975,0.9849,0.99678
3000070,0.4184701275001978,1.1436315817683922,0.9762,0.72435,0.951015,0,0.0,0.0,0.452075,0.9191075
3000074,0.3625811396919975,1.0903094420261132,0.36915,0.58305,0.39054,0,0.0,0.0,0.452075,0.3896825
3000086,0.4108360838356526,1.0230442598101623,0.956,0.2838,0.8887799999999999,0,0.0,0.0,0.452075,0.8692475
3000098,0.38679941089160097,1.1667011671656844,0.7941,0.7751,0.7922,0,0.0,0.0,0.452075,0.7772225
3000110,0.4011076942319812,1.1533930959285015,0.9143,0.746,0.89747,0,0.0,0.0,0.452075,0.8766725
3000246,0.4041605253769773,1.0114794056444993,0.9306,0.22025,0.8595649999999999,0,0.0,0.0,0.452075,0.8423825
3000254,0.45595930589124367,1.251466121005758,0.99895,0.89335,0.9883900000000001,5,0.95366,0.658669,0.9684,0.9937800000000001
3000258,0.38555203542797895,1.0546620697392215,0.7783,0.4447,0.74494,0,0.0,0.0,0.452075,0.7321774999999999
3000274,0.4168922005310589,1.116830567224314,0.9726,0.65965,0.9413050000000001,0,0.0,0.0,0.452075,0.9115475
3000334,0.39089306854825695,1.2743730793457193,0.83755,0.9141,0.845205,0,0.0,0.0,0.452075,0.8277125
3000338,0.3961700582335023,1.0961159824830282,0.88315,0.6,0.854835,0,0.0,0.0,0.452075,0.8377475
3000342,0.39851941466814983,1.2048751697976225,0.8993,0.84105,0.893475,4,0.9863649999999999,0.86431375,0.989775,0.9266175000000001
3000366,0.4094523275843055,1.1547260445292669,0.9516,0.7492,0.93136,0,0.0,0.0,0.452075,0.9035825
3000370,0.3962945248548719,1.2569264880420008,0.8843,0.8986,0.8857299999999999,0,0.0,0.0,0.452075,0.8661875
3000438,0.3973103429492983,1.1160548769416552,0.8916,0.65735,0.8681749999999999,0,0.0,0.0,0.452075,0.850595
3000450,0.39687144788638906,1.0107740299109844,0.88825,0.21575,0.8210000000000001,0,0.0,0.0,0.452075,0.8055275
3000470,0.4085988097792083,1.1567976230327013,0.94925,0.75395,0.92972,0,0.0,0.0,0.452075,0.9020075
3000482,0.37717009401205287,1.0678235336623216,0.65545,0.5016,0.640065,0,0.0,0.0,0.452075,0.6329525
3000486,0.39584096344820197,1.0497675006424403,0.88065,0.4218,0.8347650000000001,0,0.0,0.0,0.452075,0.8177224999999999
3000498,0.37831286435714434,1.0268905118033245,0.6761,0.30495,0.6389850000000001,0,0.0,0.0,0.452075,0.6320074999999999
3000542,0.37631102940793315,1.060862259687742,0.6398,0.4714,0.62296,0,0.0,0.0,0.452075,0.6167975
3000546,0.3731475309908513,1.1351831091116058,0.5843,0.70475,0.596345,0,0.0,0.0,0.452075,0.5887625
3000566,0.3993793295699647,1.127680602450328,0.90505,0.68705,0.8832500000000001,0,0.0,0.0,0.452075,0.8639824999999999
3000594,0.4023570513704063,1.0619231892577432,0.9213,0.4756,0.8767300000000001,0,0.0,0.0,0.452075,0.8577275
3000606,0.39980151953011217,1.045009907059561,0.90745,0.39885,0.85659,0,0.0,0.0,0.452075,0.8396825
3000610,0.3718691342095047,1.1410615705750673,0.56055,0.71885,0.57638,0,0.0,0.0,0.452075,0.5702675
3000630,0.4368738105369784,1.559861311622694,0.9942,0.9967,0.9944500000000001,2,0.66441,0.5001525,0.91835,0.990845
3000662,0.3983010187400378,1.2169679678587775,0.898,0.8565,0.89385,0,0.0,0.0,0.452075,0.8731625000000001
3000666,0.37092605261502165,1.203693058966304,0.54155,0.8392,0.571315,0,0.0,0.0,0.452075,0.5650925
3000686,0.37290098571899755,1.1461157149287644,0.58015,0.73025,0.59516,0,0.0,0.0,0.452075,0.5875475
3000698,0.4194403935951059,1.1979118440718175,0.978,0.83125,0.963325,0,0.0,0.0,0.452075,0.9283775
3000702,0.4038775067719379,1.1150280236712664,0.9291,0.6544,0.9016300000000002,0,0.0,0.0,0.452075,0.8794625
3000746,0.3830820575453454,1.1044956078847077,0.7447,0.6255,0.73278,0,0.0,0.0,0.452075,0.7201624999999999
3000754,0.4234950941860305,1.2889631480929007,0.9831,0.9246,0.97725,0,0.0,0.0,0.452075,0.9368825
3000758,0.40839657271852575,1.1648247968374204,0.94825,0.7709,0.9305150000000001,0,0.0,0.0,0.452075,0.9027274999999999
3000798,0.4151934030083894,1.0930791329584015,0.9683,0.59245,0.9307150000000001,0,0.0,0.0,0.452075,0.9029524999999999
